sensor_set,system,subject,test_windows,accuracy,baseline_precision,baseline_recall,baseline_f1,stress_precision,stress_recall,stress_f1,false_stress_alerts,missed_stress_windows,tuned_threshold,tuned_weight
ACC_only,Personalized baseline only,S9,64,0.765625,1.0,0.6341463414634146,0.7761194029850745,0.6052631578947368,1.0,0.7540983606557378,15,0,24.0,0.0
ACC_only,Combined SVM + baseline,S9,64,0.875,1.0,0.8048780487804879,0.8918918918918919,0.7419354838709677,1.0,0.8518518518518519,8,0,27.0,0.1
EDA_BVP,SVM only,S10,67,0.5970149253731343,0.6842105263157895,0.6341463414634146,0.6582278481012659,0.4827586206896552,0.5384615384615384,0.509090909090909,15,12,24.5,
EDA_BVP,Personalized baseline only,S10,67,0.9850746268656716,1.0,0.975609756097561,0.9876543209876543,0.9629629629629629,1.0,0.9811320754716981,1,0,55.0,0.0
EDA_BVP,Combined SVM + baseline,S10,67,0.9552238805970149,1.0,0.926829268292683,0.9620253164556963,0.896551724137931,1.0,0.9454545454545454,3,0,52.0,0.4
EDA_BVP,SVM only,S11,67,0.9552238805970149,1.0,0.9285714285714286,0.962962962962963,0.8928571428571429,1.0,0.9433962264150945,3,0,19.0,
EDA_BVP,Personalized baseline only,S11,67,0.6417910447761194,0.640625,0.9761904761904762,0.7735849056603773,0.6666666666666666,0.08,0.14285714285714285,1,23,55.0,0.0
EDA_BVP,Combined SVM + baseline,S11,67,0.6865671641791045,0.6666666666666666,1.0,0.8,1.0,0.16,0.2758620689655173,0,21,55.5,0.30000000000000004
EDA_BVP,SVM only,S13,66,0.5151515151515151,1.0,0.23809523809523808,0.3846153846153846,0.42857142857142855,1.0,0.6,32,0,21.5,
EDA_BVP,Personalized baseline only,S13,66,0.9545454545454546,0.975609756097561,0.9523809523809523,0.963855421686747,0.92,0.9583333333333334,0.9387755102040817,2,1,55.5,0.0
EDA_BVP,Combined SVM + baseline,S13,66,0.9242424242424242,1.0,0.8809523809523809,0.9367088607594937,0.8275862068965517,1.0,0.9056603773584906,5,0,52.5,0.4
EDA_BVP,SVM only,S14,65,0.7538461538461538,0.7358490566037735,0.9512195121951219,0.8297872340425531,0.8333333333333334,0.4166666666666667,0.5555555555555556,2,14,25.5,
EDA_BVP,Personalized baseline only,S14,65,0.6,0.6415094339622641,0.8292682926829268,0.723404255319149,0.4166666666666667,0.20833333333333334,0.2777777777777778,7,19,59.0,0.0
EDA_BVP,Combined SVM + baseline,S14,65,0.6615384615384615,0.6666666666666666,0.926829268292683,0.7755102040816327,0.625,0.20833333333333334,0.3125,3,19,55.5,0.30000000000000004
EDA_BVP,SVM only,S15,66,0.7272727272727273,0.96,0.5853658536585366,0.7272727272727272,0.5853658536585366,0.96,0.7272727272727272,17,1,14.5,
EDA_BVP,Personalized baseline only,S15,66,0.9848484848484849,1.0,0.975609756097561,0.9876543209876543,0.9615384615384616,1.0,0.9803921568627451,1,0,55.0,0.0
EDA_BVP,Combined SVM + baseline,S15,66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,53.5,0.4
EDA_BVP,SVM only,S16,65,0.8153846153846154,1.0,0.7073170731707317,0.8285714285714285,0.6666666666666666,1.0,0.8,12,0,16.5,
EDA_BVP,Personalized baseline only,S16,65,0.9692307692307692,1.0,0.9512195121951219,0.975,0.9230769230769231,1.0,0.9600000000000001,2,0,55.0,0.0
EDA_BVP,Combined SVM + baseline,S16,65,0.9846153846153847,1.0,0.975609756097561,0.9876543209876543,0.96,1.0,0.9795918367346939,1,0,50.5,0.4
EDA_BVP,SVM only,S17,67,0.7313432835820896,0.7446808510638298,0.8536585365853658,0.7954545454545454,0.7,0.5384615384615384,0.608695652173913,6,12,40.5,
EDA_BVP,Personalized baseline only,S17,67,0.6268656716417911,0.6379310344827587,0.9024390243902439,0.7474747474747474,0.5555555555555556,0.19230769230769232,0.28571428571428575,4,21,55.0,0.0
EDA_BVP,Combined SVM + baseline,S17,67,0.6268656716417911,0.6333333333333333,0.926829268292683,0.7524752475247526,0.5714285714285714,0.15384615384615385,0.24242424242424246,3,22,55.5,0.4
EDA_BVP,SVM only,S2,63,0.8412698412698413,0.96875,0.775,0.8611111111111113,0.7096774193548387,0.9565217391304348,0.8148148148148149,9,1,22.0,
EDA_BVP,Personalized baseline only,S2,63,0.8095238095238095,1.0,0.7,0.8235294117647058,0.6571428571428571,1.0,0.7931034482758621,12,0,55.0,0.0
EDA_BVP,Combined SVM + baseline,S2,63,0.8412698412698413,0.96875,0.775,0.8611111111111113,0.7096774193548387,0.9565217391304348,0.8148148148148149,9,1,54.0,0.4
EDA_BVP,SVM only,S3,64,0.625,1.0,0.4,0.5714285714285715,0.5,1.0,0.6666666666666666,24,0,33.0,
EDA_BVP,Personalized baseline only,S3,64,0.59375,0.6521739130434783,0.75,0.6976744186046512,0.4444444444444444,0.3333333333333333,0.380952380952381,10,16,55.0,0.0
EDA_BVP,Combined SVM + baseline,S3,64,0.59375,0.6346153846153846,0.825,0.717391304347826,0.4166666666666667,0.20833333333333334,0.2777777777777778,7,19,65.0,0.2
EDA_BVP,SVM only,S4,64,0.96875,0.975609756097561,0.975609756097561,0.975609756097561,0.9565217391304348,0.9565217391304348,0.9565217391304348,1,1,28.0,
EDA_BVP,Personalized baseline only,S4,64,0.828125,1.0,0.7317073170731707,0.8450704225352113,0.6764705882352942,1.0,0.8070175438596492,11,0,55.0,0.0
EDA_BVP,Combined SVM + baseline,S4,64,0.875,1.0,0.8048780487804879,0.8918918918918919,0.7419354838709677,1.0,0.8518518518518519,8,0,59.0,0.30000000000000004
EDA_BVP,SVM only,S5,65,0.46153846153846156,1.0,0.16666666666666666,0.2857142857142857,0.39655172413793105,1.0,0.5679012345679012,35,0,20.0,
EDA_BVP,Personalized baseline only,S5,65,0.8615384615384616,1.0,0.7857142857142857,0.88,0.71875,1.0,0.8363636363636363,9,0,55.0,0.0
EDA_BVP,Combined SVM + baseline,S5,65,0.8615384615384616,1.0,0.7857142857142857,0.88,0.71875,1.0,0.8363636363636363,9,0,52.0,0.4
EDA_BVP,SVM only,S6,65,0.8,0.9375,0.7317073170731707,0.821917808219178,0.6666666666666666,0.9166666666666666,0.7719298245614035,11,2,20.5,
EDA_BVP,Personalized baseline only,S6,65,0.8923076923076924,1.0,0.8292682926829268,0.9066666666666667,0.7741935483870968,1.0,0.8727272727272727,7,0,55.0,0.0
